Band,Song,Player,Technique,Difficulty,Score
Lithium,The Way I See It,nan,"['Acoustic Guitar (steel)', 'Tom W. (Acoustic Guitar)']",Beginner,2/8
Lithium,Make Me Cry,Tom W. (Solo),['Distortion Guitar'],Intermediate,3/8
Lithium,I Think We Should Stop Holding Hands,Tom,"['Guitar', 'Distortion Guitar']",Beginner,2/8
Lithium,Extra Numb,Tom W. (Overdubs),['Overdriven Guitar'],Beginner,2/8
Lithium,Hate You,Tom W. (Clean),['Electric Guitar (clean)'],Beginner,2/8
Lithium,For A Boy,Tom W. (Clean),['Electric Guitar (clean)'],Intermediate,3/8
Lithium,Anti-Optimist,Tom,['Distortion Guitar'],Beginner,2/8
Lithium,Out Of The Blue,Tom W. (Rhythm),['Distortion Guitar'],Beginner,2/8
Lithium,Bring It All Back,Tom W. (Overdubs),['Overdriven Guitar'],Beginner,2/8
Lithium,I'm Very Smart,Tom (Clean),['Electric Guitar (clean)'],Beginner,2/8
Lithium,Slack Off,Tom,['Electric Guitar (clean)'],Beginner,2/8
Lithium,Idiom,Tom,['Distortion Guitar'],Advanced,6/8
Majör Adamlar (Sufi),Sarı Zülfün,Ýz 2,['Electric Guitar (jazz)'],Intermediate,3/8
Lithium,Fit,Tom,['Distortion Guitar'],Intermediate,4/8
Lithium,Paracetamol,Tom,['Distortion Guitar'],Beginner,2/8
Revocation,A Visitation,Harmony,['Overdriven Guitar'],Intermediate,4/8
Tyoma,king,nan,['Distortion Guitar 1'],Intermediate,3/8
Slaver,Maiden Scythe,Lead,['Distortion Guitar'],Beginner,2/8
Band-Maid,DICE,Miku,['Distortion Guitar'],Beginner,2/8
Chinaski,Kafe s mlíkem,nan,"['Electric Guitar (clean)', 'Overdriven Guitar']",Beginner,2/8
Lazer Lloyd,Forget The World,Harmony,['Electric Guitar (jazz)'],Beginner,2/8
Revocation,Archfiend,Acoustic,['Electric Guitar (clean)'],Intermediate,3/8
Revocation,Invidious,solo,['Distortion Guitar 1'],Intermediate,5/8
Alice in Chains,Love Hate Love,2nd Jerry,['Distortion Guitar'],Beginner,2/8
Nightmare,Ochiwa,Hitsugi Solo,['Distortion Guitar'],Intermediate,4/8
Deathblower,Kult šílenství,nan,['Distortion Guitar 2'],Intermediate,5/8
"Ben Mason, Joey Locastro",Song,nan,"['Distortion Guitar', 'Guitar Lead']",Beginner,2/8
Red Hot Chili Peppers,Black Summer,John Frusciante Solo,['Distortion Guitar'],Intermediate,3/8
Slaver,Voltage Exposure/Nevrosy,Harm.,['Electric Guitar (clean)'],Intermediate,3/8
Slaver,Picnic River Str.,nan,['Electric Guitar (clean)'],Intermediate,4/8
Guns N' Roses,My Michelle,Slash,['Distortion Guitar'],Intermediate,3/8
Nirvana,Should I Stay or Should I Go,Krist Novoselic,['Electric Guitar (clean)'],Beginner,2/8
Lithium,Nail,Tom,['Distortion Guitar'],Beginner,2/8
Guns N' Roses,"Well, Well, Well My Michellle",Izzy Stradlin,['Overdriven Guitar'],Intermediate,3/8
Tom Donahue,welcome to the jungle,#3,['Distortion Guitar'],Intermediate,3/8
09093847582345,834705823475082374,Track 2,['Distortion Guitar'],Intermediate,3/8
Galneryus,T.F.F.B.,Rhythm 2,['Distortion Guitar'],Intermediate,4/8
Nightmare,Loopain,Hitsugi,['Distortion Guitar'],Beginner,2/8
Zxcv,zxcv,??,['Distortion Guitar'],Beginner,2/8
Bump Of Chicken,BUMP OF CHICKENのテーマ,??,['Distortion Guitar'],Beginner,2/8
Bump Of Chicken,BUMP OF CHICKENにのテーマ,??,['Distortion Guitar'],Beginner,2/8
Bump Of Chicken,BUMP OF CHICKENのテーマ,???,['Overdriven Guitar'],Beginner,2/8
Boc,boc,???,['Overdriven Guitar'],Beginner,2/8
Fdfd,fdfd,??,['Overdriven Guitar'],Beginner,2/8
Dfdf,dfdf,???,['Overdriven Guitar'],Beginner,2/8
Cv,cv,??,['Overdriven Guitar'],Beginner,2/8
El Canto Del Loco,Contigo,Bajo,['Electric Guitar (jazz)'],Beginner,1/8
Home Town Hero,Bed Of Dreams,nan,['Acoustic Guitar (nylon)'],Intermediate,3/8
Rage Against The Machine,Face Off,Track 2,['Acoustic Guitar (nylon)'],Beginner,1/8
Ramzes & The Hooligans,Kiosk,Utwór 4,['Acoustic Guitar (nylon)'],Intermediate,3/8
Patryk Rose,That Damn Love,nan,['Electric Guitar (jazz)'],Intermediate,3/8
Satanic Legion,Unholy Father Of Pain,nan,['Distortion Guitar'],Intermediate,3/8
Top Gear,Top Gear 3000 - Intro,Baixo 1,['Overdriven Guitar'],Intermediate,3/8
Nobuo Uematsu,Another World Of Beasts,nan,['Electric Guitar (jazz)'],Beginner,1/8
Underground Vibes,Soul Symphony,Maiko,['Overdriven Guitar'],Intermediate,3/8
Akira Yamaoka,You're Not Here,nan,['Distortion Guitar'],Beginner,1/8
Sum 41,Reign In Pain,Cone,['Distortion Guitar'],Intermediate,3/8
Verdena,Starless,nan,['Overdriven Guitar'],Intermediate,3/8
Ascelia,Consuming Love,nan,['Acoustic Guitar (nylon)'],Intermediate,3/8
Danzig,Let It Be Captured,Eerie Von,['Acoustic Guitar (nylon)'],Beginner,1/8
AFI,Ether,Hunter (3),['Distortion Guitar'],Beginner,2/8
Böhse Onkelz,Berstimuliert,Stefan Verzerrt,['Distortion Guitar'],Intermediate,3/8
The Subways,Shake Shake,nan,['Distortion Guitar'],Beginner,1/8
Verdena,Balanite,Roberta,['Distortion Guitar'],Beginner,1/8
Zakk Wylde,Bridge To Cross,Zakk,['Acoustic Guitar (nylon)'],Beginner,1/8
Black Rebel Motorcycle Club,Need Some Air,nan,['Distortion Guitar'],Beginner,1/8
Black Rebel Motorcycle Club,Shadows Keeper,nan,['Electric Guitar (jazz)'],Intermediate,3/8
Black Rebel Motorcycle Club,High Low,nan,['Electric Guitar (jazz)'],Beginner,1/8
Green Day,21st Century Breakdown,nan,['Overdriven Guitar'],Beginner,1/8
Nightmare,Wasurena Kusa,Ni~Ya,['Distortion Guitar'],Beginner,2/8
Guns N' Roses,The Garden,nan,['Overdriven Guitar'],Beginner,2/8
Motorhead,No Voices In The Sky,Track 4,['Distortion Guitar'],Beginner,2/8
Michael Angelo Batio,For Whom The Bell Tolls,M.A.B,['Distortion Guitar'],Beginner,1/8
Motorhead,All For You,Lemmy,['Distortion Guitar'],Beginner,2/8
Revocation,Chaos Of Forms,nan,['Electric Guitar (clean)'],Intermediate,3/8
KISS,I Want You,nan,['Overdriven Guitar'],Beginner,2/8
Mr. Big,Still Ain't Enough For Me,nan,['Overdriven Guitar'],Intermediate,4/8
Kane,My Best Wasn't Good Enough,nan,['Acoustic Guitar (steel)'],Intermediate,3/8
Avalanch,Pelayo,nan,['Electric Guitar (clean)'],Beginner,1/8
Black Rebel Motorcycle Club,Let The Day Begin,nan,['Electric Guitar (jazz)'],Beginner,2/8
Circa Survive,Always Getting What You Want,nan,['Distortion Guitar 6'],Intermediate,3/8
Firehouse,Don't Treat Me Bad,nan,['Overdriven Guitar 2'],Beginner,1/8
Mae,Anything,nan,['Acoustic Guitar (steel) 5'],Beginner,1/8
Reuben,Freddy Kreuger,nan,['Distortion Guitar'],Intermediate,3/8
Propagandhi,Failed States,nan,['Distortion Guitar'],Intermediate,4/8
Motorhead,Don't Need Religion,Track 2,['Distortion Guitar'],Beginner,1/8
Motorhead,Devil I Know,nan,['Distortion Guitar'],Beginner,1/8
Motorhead,Ramones,Lemmy,['Distortion Guitar'],Beginner,2/8
Motorhead,Kingdom Of The Worm,Lemmy,['Overdriven Guitar'],Beginner,2/8
Motorhead,Shoot You In The Back,nan,['Distortion Guitar'],Beginner,1/8
Motorhead,Bite The Bullet,nan,['Distortion Guitar'],Intermediate,3/8
Motorhead,Dead And Gone,Lemmy,['Overdriven Guitar'],Beginner,1/8
Motorhead,Claw,Track 2,['Distortion Guitar'],Intermediate,3/8
Yngwie Malmsteen,I Am A Viking With Bass/Rhytm,nan,['Overdriven Guitar'],Intermediate,5/8
Freedom Call,High Enough,nan,['Acoustic Guitar (steel)'],Intermediate,4/8
Freedom Call,Metal Invasion,nan,['Acoustic Guitar (steel)'],Intermediate,4/8
Gamma Ray,Heavy Metal Universe,nan,['Acoustic Guitar (steel)'],Beginner,1/8
Gamma Ray,One With The World,nan,['Acoustic Guitar (steel)'],Intermediate,3/8
Slayer,D.D.A.M.M.,Tom Araya,['Distortion Guitar'],Beginner,1/8
Slayer,Desintegration - Free Money,Tom Araya,['Distortion Guitar'],Intermediate,5/8
Slayer,Verbal Abuse - Leeches,Tom Araya,['Distortion Guitar'],Intermediate,5/8
Black Label Society,We Live No More,nan,['Acoustic Guitar (nylon)'],Beginner,1/8
Extreme,Comfortably Dumb, [octaver sound,['Overdriven Guitar'],Intermediate,5/8
In Arkadia,Somber Light,nan,['Acoustic Guitar (nylon)'],Intermediate,3/8
Misfits,Runaway,Jerry Only,['Overdriven Guitar'],Beginner,1/8
Old Man's Child,My Kingdom Will Come,nan,['Acoustic Guitar (nylon)'],Beginner,2/8
S.O.D.,Shenanigans,nan,['Overdriven Guitar'],Intermediate,3/8
Misfits,I Wanna Be A Ny Ranger,nan,['Overdriven Guitar'],Beginner,2/8
Mayhem,Freezing Moon,Necrobutcher,['Distortion Guitar'],Beginner,1/8
Animetal,Himitsu Sentai Goranger,nan,['Acoustic Guitar (nylon)'],Intermediate,3/8
Animetal,Animetal No Theme II,nan,['Acoustic Guitar (nylon)'],Intermediate,3/8
Animetal,Shouri Da! Akumaizer 3,nan,['Acoustic Guitar (nylon)'],Intermediate,3/8
Ministry,Lava,nan,['Distortion Guitar'],Beginner,2/8
Misfits,Abominable Dr. Phibes,Jerry Only,['Distortion Guitar'],Intermediate,3/8
Misfits,Hunting Humans,nan,['Distortion Guitar'],Intermediate,3/8
Animetal,Tatakae ! Denjin Zaborger,nan,['Acoustic Guitar (nylon)'],Intermediate,3/8
Reuben,Agony Agatha,nan,['Distortion Guitar'],Intermediate,3/8
Warmachine,What A Pretty Picture,nan,['Electric Guitar (clean)'],Intermediate,3/8
Green Mind,Condemned,Track 2,['Electric Guitar (jazz)'],Intermediate,3/8
Green Mind,Cognitive Dissonance,Track 2,['Electric Guitar (jazz)'],Intermediate,3/8
Burzum,Keliohesten,nan,['Electric Guitar (clean)'],Beginner,1/8
S.O.S.,Novo Ciclo,Gonçalo,['Acoustic Guitar (steel)'],Intermediate,3/8
Motorhead,King Of Kings,Track 4,['Distortion Guitar'],Beginner,1/8
Relient K,Who I Am Hates Who I've Been,nan,['Acoustic Guitar (nylon)'],Beginner,1/8
Dark Tranquillity,The Mind's Eye,nan,"['Acoustic Guitar (nylon)', 'BackGuitar']",Beginner,1/8
Nightmare,Wasurena Kusa Budokan Version,Ni~Ya,['Distortion Guitar'],Beginner,2/8
Motorhead,I Don't Believe A Word,nan,['Overdriven Guitar'],Beginner,1/8
Motorhead,Hellraiser,Lemmy (God),['Overdriven Guitar'],Beginner,1/8
Protest The Hero,Led Astray,nan,['Acoustic Guitar (nylon)'],Intermediate,3/8
Calum Rob,ace of diamonds,nan,['Overdriven Guitar'],Intermediate,3/8
St. Vincent,Now Now,nan,['Overdriven Guitar'],Beginner,2/8
Brand New,Untitled 05,nan,['Overdriven Guitar'],Intermediate,3/8
Cold Cast,Country Roads,nan,['Acoustic Guitar (steel)'],Intermediate,3/8
Metallica,One,nan,['Acoustic Guitar (nylon)'],Intermediate,3/8
Stone Sour,Hesitate,Shawn Economaki,['Acoustic Guitar (steel)'],Beginner,1/8
Misfits,Don't Open 'till Doomsday,nan,['Distortion Guitar'],Beginner,2/8
Metallica,Orion,nan,['Distortion Guitar'],Intermediate,3/8
9kt,12,fx bajo distorsion,['Distortion Guitar'],Intermediate,4/8
Motorhead,Rock Out,Lemmy,['Distortion Guitar'],Beginner,2/8
Motorhead,You Better Run Live Bass Intro,Overdrive Effect,['Overdriven Guitar'],Intermediate,3/8
Rage Against The Machine,Bulls On Parade,Tim Commerford (Distortion Effect),['Distortion Guitar'],Beginner,2/8
Gummy,Cheia de reverb,GROOVY,['Overdriven Guitar'],Intermediate,5/8
Withering Remains,ough,Rhythm 2,['Distortion Guitar'],Intermediate,3/8
Metallica,Metalgrock - Orion,nan,"['Distortion Guitar', 'Kirk (Lead Guitar)']",Intermediate,5/8
Thulio Muniz,Unfamiliar Ceiling,nan,['Electric Guitar (clean)'],Intermediate,3/8
Motorhead,Ace Of Spades,Disortion Effect,['Distortion Guitar'],Beginner,2/8
Megadeth,Train Of Consequences Intro Rude Awakening,nan,['Acoustic Guitar (steel)'],Intermediate,3/8
Metallica,Cure,Jason Newsted,['Acoustic Guitar (steel)'],Beginner,1/8
Liam Arellano (Quixöte),prueba de solo de bajo,Pista 3,['Distortion Guitar'],Intermediate,5/8
Cliff Burton,Cliff Burton 1982 Trauma Solo,nan,['Overdriven Guitar'],Advanced,8/8
Slaver,Creeping liar,nan,['Distortion Guitar'],Intermediate,4/8
Slaver (Test),Creeping liar,nan,['Distortion Guitar'],Intermediate,4/8
Slaver,Raise of Empire,nan,['Distortion Guitar'],Intermediate,3/8
Venom,Witching Hour,nan,['Overdriven Guitar'],Intermediate,4/8
Mayhem,Witching Hour,nan,['Overdriven Guitar'],Intermediate,4/8
Quixöte,Vórtice,Liam A. (Bajo con distorsión),['Distortion Guitar'],Intermediate,3/8
Liam Arellano,Mago,Pista 5,['Distortion Guitar'],Intermediate,3/8
Slaver,Dires Stairs,nan,['Overdriven Guitar'],Intermediate,3/8
U2,New Years Day V4,Adam Clayton,['Overdriven Guitar'],Intermediate,3/8
Morbid Angel,Nevermore,nan,['Overdriven Guitar'],Intermediate,3/8
Misfits,Scarecrow Man,nan,['Distortion Guitar'],Intermediate,3/8
Misfits,From Hell They Came,nan,['Distortion Guitar'],Intermediate,3/8
Misfits,Dead Kings Rise,Jerry Only ,['Overdriven Guitar'],Intermediate,3/8
Buckethead,Puddles,nan,['Acoustic Guitar (steel)'],Intermediate,3/8
Misfits,Dr Phibes Rises Again,Jerry Only,['Overdriven Guitar 2'],Intermediate,3/8
Slaver,Azordus,nan,['Distortion Guitar'],Intermediate,3/8
Weezer,Tired Of Sex,Matt Sharp,['Distortion Guitar'],Intermediate,3/8
Misfits,Crawling Eye,Jerry Only,['Distortion Guitar'],Intermediate,3/8
Kirisute,Settle For Death,Track 6,['Distortion Guitar'],Intermediate,3/8
Misfits,The Haunting,Jerry Only Distortion,['Distortion Guitar'],Intermediate,3/8
Misfits,Speak Of The Devil,Jerry Only,['Distortion Guitar'],Intermediate,3/8
Misfits,Fiend Club,nan,['Distortion Guitar'],Intermediate,3/8
Misfits,Saturday Night,Jerry Only,['Distortion Guitar'],Intermediate,3/8
Misfits,Lost In Space,Jerry Only,['Overdriven Guitar'],Intermediate,4/8
Misfits,Witch Hunt,Jerry Only,['Distortion Guitar'],Intermediate,3/8
Misfits,The Hunger,Jerry Only,['Overdriven Guitar'],Intermediate,3/8
Misfits,Crimson Ghost,Jerry Only,['Distortion Guitar'],Beginner,2/8
Misfits,Day Of The Dead,nan,['Distortion Guitar'],Intermediate,3/8
The Misfits,Dr Phibes Rises Again,Jerry Only,['Overdriven Guitar 2'],Intermediate,3/8
Motorhead,We Are The Road Crew,Lemmy Kilmister (Distortion),['Overdriven Guitar'],Beginner,2/8
Slaver,Picnic River Str.,nan,['Acoustic Guitar (nylon)'],Beginner,2/8
JAD,In Amber Clad,Phiphi,['Overdriven Guitar'],Intermediate,3/8
Led Zeppelin,Friends,nan,['Acoustic Guitar (steel)'],Intermediate,3/8
Nihil,Lies Within,nan,"['Overdriven Guitar', 'Guitare disto']",Intermediate,3/8
The Rolling Stones,You Gotta Move,nan,"['Acoustic Guitar (steel)', 'Open C Slide Guitar']",Beginner,2/8
Slippy,So What,nan,['Electric Guitar (clean)'],Intermediate,3/8
Tragically Hip,Ahead By A Century,nan,['Acoustic Guitar (steel)'],Beginner,2/8
3 Doors Down,Citizen Soldier,Matt (Clean),['Electric Guitar (jazz)'],Intermediate,4/8
Naked Ear,Retzhof,Git. 1,['Acoustic Guitar (nylon)'],Intermediate,4/8
Luka Bloom,First Light Of Spring,Spur 1,['Acoustic Guitar (nylon)'],Intermediate,3/8
Beck,Side Of The Road,nan,"['Acoustic Guitar (nylon)', 'Guitar 1']",Intermediate,3/8
3 Doors Down,Train,nan,['Overdriven Guitar'],Intermediate,3/8
Fozzy,Enemy,Traccia 3,['Distortion Guitar'],Intermediate,3/8
John Butler Trio,Daniella,nan,['Acoustic Guitar (steel)'],Intermediate,5/8
John Butler Trio,What You Want,nan,"['Overdriven Guitar', 'john butler ampliefied 11 string guitare']",Beginner,2/8
John Butler Trio,Sista,John Butler,['Acoustic Guitar (steel)'],Beginner,1/8
John Butler Trio,Funky Tonight,Piste 1,['Acoustic Guitar (steel)'],Intermediate,4/8
Speedy Recovery,I Need Your Clothes Shoes And Motorcycle,nan,"['Distortion Guitar', 'Rhythm guitar']",Intermediate,3/8
Used To Be,X,Johnny 2,['Distortion Guitar'],Intermediate,3/8
Drew,Jaming Session,nan,['Distortion Guitar'],Advanced,8/8
I'll Mazdo,As I Lay In The Mazdo Playing Riosk With Hayley Williams,Track 2,['Distortion Guitar'],Intermediate,4/8
The Omeads,Faking The Victim,nan,"['Distortion Guitar', 'Guitar 1']",Intermediate,3/8
Crack Head Soloers,Holo Cholo,Track 2,['Acoustic Guitar (steel)'],Intermediate,3/8
Crack Head Soloers,How Do You Know Me?!?♫,IAn,['Distortion Guitar'],Intermediate,3/8
Crack Head Soloers,Dodo Bird,nan,['Distortion Guitar'],Intermediate,4/8
A Peaceful Resistance,A Piece Of Mind,nan,"['Distortion Guitar', 'Rythm guitar']",Intermediate,4/8
John Butler Trio,Seeing Angels,nan,['Acoustic Guitar (steel) 2'],Intermediate,3/8
John Butler Trio,Ocean Live,nan,"['Acoustic Guitar (steel)', 'Guitare']",Intermediate,5/8
Dougie Maclean,Ye Banks And Braes,nan,"['Acoustic Guitar (steel)', 'Steel Guitar']",Beginner,2/8
Amplifier,Strange Seas Of Thoughts,Stopa 1,['Overdriven Guitar'],Intermediate,3/8
Bruce Cockburn,Foxglove,nan,['Acoustic Guitar (steel)'],Intermediate,3/8
John Butler Trio,Home Is Where The Heart Is,nan,"['Acoustic Guitar (steel)', '12 string guuitar']",Intermediate,3/8
John Butler Trio,Pickapart,Acoustic 12,['Acoustic Guitar (steel)'],Intermediate,4/8
John Butler,Ocean,nan,['Acoustic Guitar (steel)'],Intermediate,5/8
John Fahey,Requiem For John Hurt,nan,['Acoustic Guitar (steel)'],Intermediate,3/8
Laurence Juber,Feet On My Back Again,Traccia 1,['Acoustic Guitar (nylon)'],Intermediate,3/8
Triad,Selir Hati,Track 3,['Acoustic Guitar (steel)'],Intermediate,3/8
Mumford And Sons,Roll Away Your Stone,Marcus,['Acoustic Guitar (steel)'],Beginner,2/8
Javez,Death Metal Song,nan,['Distortion Guitar'],Intermediate,3/8
Rik Emmett,Buggy Ride,Rik Emmett,['Acoustic Guitar (nylon)'],Intermediate,5/8
Taylor Swift,Dark Blue Tennessee,nan,['Acoustic Guitar (steel)'],Intermediate,3/8
The Rock,Selir Hati,Track 5,['Acoustic Guitar (steel)'],Intermediate,3/8
Ewan Dobson,Time 2,Spår 1,['Acoustic Guitar (steel)'],Intermediate,4/8
Whitesnake,Ain't Gonna Cry No More,nan,"['Acoustic Guitar (steel)', 'Guitarra']",Beginner,2/8
Ewan Dobson,Donkey Kong Expansion Pack,nan,['Acoustic Guitar (steel)'],Intermediate,5/8
Ewan Dobson,Time 2.1,nan,['Acoustic Guitar (nylon)'],Intermediate,4/8
Kings Of Leon,Use Somebody,nan,['Acoustic Guitar (steel)'],Beginner,2/8
Xtremghost,Les Choristes Metal,Piste 4,['Overdriven Guitar'],Intermediate,3/8
Buried Beneath These Corpse,Cancion 2,Pista 1,['Distortion Guitar'],Intermediate,3/8
Buried Beneath These Corpse,Cancion 3,Pista 1,['Distortion Guitar'],Intermediate,3/8
Buried Beneath These Corpse,Cancion 4,Pista 1,['Distortion Guitar'],Intermediate,5/8
Devin Townsend,Terminal,nan,"['Electric Guitar (jazz)', 'Guitar 2']",Beginner,1/8
Cinema Bizarre,The Silent Place,Yu,['Overdriven Guitar'],Intermediate,3/8
Van Halen,Stay Frosty,nan,['Acoustic Guitar (steel)'],Intermediate,3/8
Ewan Dobson,Happy Hardcore,nan,['Acoustic Guitar (steel)'],Intermediate,5/8
Ewan Dobson,Blood And Ice,nan,['Acoustic Guitar (steel)'],Advanced,6/8
Ewan Dobson,Machinery,nan,['Acoustic Guitar (steel)'],Intermediate,4/8
All Black & White,Burning Bridge,Rodney,['Acoustic Guitar (nylon)'],Intermediate,3/8
Unknown,Plectrus,nan,['Acoustic Guitar (steel)'],Intermediate,5/8
Piotr Restecki,Acustic,Utwór 1,['Acoustic Guitar (steel)'],Intermediate,5/8
Mollen,Bidabu,nan,['Acoustic Guitar (steel)'],Intermediate,3/8
Dassindamon,Duh,nan,['Distortion Guitar'],Intermediate,3/8
Billy The Kid,Chocolate Sexual,Pista 2,['Overdriven Guitar'],Intermediate,3/8
Test,Acoustic Track,Track 2,['Distortion Guitar'],Advanced,6/8
Devin Townsend,Hyperdrive,nan,"['Acoustic Guitar (steel)', 'Steel Guitar']",Intermediate,3/8
Devin Townsend,Stagnant Solo,nan,"['Overdriven Guitar', 'Guitar']",Intermediate,3/8
Devin Townsend Project,Divine,nan,"['Electric Guitar (muted)', 'Guitar 1']",Beginner,1/8
Devin Townsend,Deamon League,Devin Townsend,['Electric Guitar (clean)'],Intermediate,3/8
Devin Townsend Project,Ki,Devin Townsend,['Acoustic Guitar (steel)'],Intermediate,3/8
Devin Townsend Project,Feather,nan,"['Acoustic Guitar (steel)', 'Guitar 1']",Beginner,2/8
Devin Townsend,Funeral,nan,"['Distortion Guitar', 'Guitar 1']",Beginner,1/8
John Butler Trio,Ocean,nan,['Acoustic Guitar (steel)'],Intermediate,4/8
Sexist,Balada O Péru,Kytara Tom,['Overdriven Guitar'],Intermediate,3/8
John Butler Trio,Betterman,nan,['Acoustic Guitar (steel)'],Beginner,2/8
Peter Gergely,Shake It Off,nan,['Acoustic Guitar (steel)'],Intermediate,4/8
Devin Townsend,Sunday Afternoon,nan,"['Overdriven Guitar', 'Guitar 1']",Intermediate,3/8
Devin Townsend Project,Universal Flame,The Dev,['Distortion Guitar'],Beginner,2/8
Devin Townsend,Deathray,The Dev,['Distortion Guitar'],Intermediate,3/8
Devin Townsend,War Princess,nan,"['Distortion Guitar', 'Dist Guitar']",Intermediate,4/8
Hms,Untitled/Unfinished Song,Track 2,['Distortion Guitar'],Advanced,7/8
John Butler Trio,Ocean,nan,"['Acoustic Guitar (steel)', '11 string guitar']",Intermediate,5/8
Devin Townsend,Truth,Jed Simon,['Distortion Guitar'],Beginner,2/8
Strapping Young Lad,Polyphony,Jed,['Overdriven Guitar'],Beginner,2/8
Strapping Young Lad,Love,Lead Fills,['Distortion Guitar'],Beginner,2/8
Wilco,I'm The Man Who Loves You,Gtr. 1,['Overdriven Guitar'],Intermediate,3/8
Devin Townsend,Life,nan,"['Distortion Guitar', 'Devin Townsend (Second Guitar)']",Beginner,2/8
Rob Scallon,A False Closeness,nan,['Electric Guitar (clean)'],Intermediate,3/8
Hms,Dreams,Track 3,['Distortion Guitar'],Intermediate,4/8
The White Stripes,Seven Nation Army,nan,"['Acoustic Guitar (steel)', 'Steel Guitar']",Intermediate,3/8
Jack Johnson,I Got You,Acoustic Gtr (Steel Strings) Open C Tuni,['Acoustic Guitar (steel)'],Beginner,2/8
Devin Townsend,Feather,nan,"['Acoustic Guitar (steel)', 'Guitar 1']",Beginner,2/8
Devin Townsend,Processional,nan,"['Distortion Guitar', 'Guitar 2']",Intermediate,3/8
Devin Townsend,Pixillate,nan,"['Distortion Guitar', 'Guitar 1']",Intermediate,3/8
Devin Townsend,Mental Tan,nan,"['Distortion Guitar', 'Guitar 1']",Intermediate,3/8
Devin Townsend,Ants,Dev,['Distortion Guitar'],Intermediate,5/8
Devin Townsend,Noisy Pink Bubbles,nan,"['Acoustic Guitar (steel)', 'Guitar 2']",Intermediate,3/8
Devin Townsend,Ih-Ah,nan,['Electric Guitar (clean) 1'],Beginner,2/8
Devin Townsend,The Fluke,nan,"['Distortion Guitar', 'Guitar 1']",Intermediate,3/8
Devin Townsend,Divine,nan,"['Electric Guitar (muted)', 'Guitar 1']",Intermediate,3/8
Devin Townsend,Synchronicity Freaks,nan,"['Electric Guitar (muted)', 'Guitar 2']",Beginner,1/8
